tile_id,source_image_id,dataset_id,category,wafer_id,modality,split,label,image_path,mask_path,tile_x,tile_y,tile_size,stride,preprocess_id,support_eligible,demo_allowed
miic_partial_normal_test_normal_00012__x00000_y00000_s00448,miic_partial_normal_test_normal_00012,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00012.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00013__x00000_y00000_s00448,miic_partial_normal_test_normal_00013,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00013.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00014__x00000_y00000_s00448,miic_partial_normal_test_normal_00014,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00014.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00015__x00000_y00000_s00448,miic_partial_normal_test_normal_00015,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00015.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00016__x00000_y00000_s00448,miic_partial_normal_test_normal_00016,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00016.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00017__x00000_y00000_s00448,miic_partial_normal_test_normal_00017,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00017.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00018__x00000_y00000_s00448,miic_partial_normal_test_normal_00018,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00018.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00019__x00000_y00000_s00448,miic_partial_normal_test_normal_00019,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00019.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00020__x00000_y00000_s00448,miic_partial_normal_test_normal_00020,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00020.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00021__x00000_y00000_s00448,miic_partial_normal_test_normal_00021,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00021.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00022__x00000_y00000_s00448,miic_partial_normal_test_normal_00022,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00022.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00023__x00000_y00000_s00448,miic_partial_normal_test_normal_00023,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00023.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00024__x00000_y00000_s00448,miic_partial_normal_test_normal_00024,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00024.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00025__x00000_y00000_s00448,miic_partial_normal_test_normal_00025,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00025.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00026__x00000_y00000_s00448,miic_partial_normal_test_normal_00026,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00026.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00027__x00000_y00000_s00448,miic_partial_normal_test_normal_00027,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00027.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00028__x00000_y00000_s00448,miic_partial_normal_test_normal_00028,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00028.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00029__x00000_y00000_s00448,miic_partial_normal_test_normal_00029,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00029.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00030__x00000_y00000_s00448,miic_partial_normal_test_normal_00030,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00030.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00031__x00000_y00000_s00448,miic_partial_normal_test_normal_00031,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00031.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00032__x00000_y00000_s00448,miic_partial_normal_test_normal_00032,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00032.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00033__x00000_y00000_s00448,miic_partial_normal_test_normal_00033,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00033.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00034__x00000_y00000_s00448,miic_partial_normal_test_normal_00034,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00034.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00035__x00000_y00000_s00448,miic_partial_normal_test_normal_00035,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00035.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00036__x00000_y00000_s00448,miic_partial_normal_test_normal_00036,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00036.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00037__x00000_y00000_s00448,miic_partial_normal_test_normal_00037,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00037.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00038__x00000_y00000_s00448,miic_partial_normal_test_normal_00038,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00038.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00039__x00000_y00000_s00448,miic_partial_normal_test_normal_00039,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00039.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00040__x00000_y00000_s00448,miic_partial_normal_test_normal_00040,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00040.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00041__x00000_y00000_s00448,miic_partial_normal_test_normal_00041,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00041.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00042__x00000_y00000_s00448,miic_partial_normal_test_normal_00042,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00042.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00043__x00000_y00000_s00448,miic_partial_normal_test_normal_00043,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00043.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00044__x00000_y00000_s00448,miic_partial_normal_test_normal_00044,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00044.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00045__x00000_y00000_s00448,miic_partial_normal_test_normal_00045,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00045.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00046__x00000_y00000_s00448,miic_partial_normal_test_normal_00046,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00046.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00047__x00000_y00000_s00448,miic_partial_normal_test_normal_00047,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00047.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00048__x00000_y00000_s00448,miic_partial_normal_test_normal_00048,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00048.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00049__x00000_y00000_s00448,miic_partial_normal_test_normal_00049,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00049.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00050__x00000_y00000_s00448,miic_partial_normal_test_normal_00050,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00050.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00051__x00000_y00000_s00448,miic_partial_normal_test_normal_00051,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00051.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00052__x00000_y00000_s00448,miic_partial_normal_test_normal_00052,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00052.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00053__x00000_y00000_s00448,miic_partial_normal_test_normal_00053,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00053.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00054__x00000_y00000_s00448,miic_partial_normal_test_normal_00054,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00054.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00055__x00000_y00000_s00448,miic_partial_normal_test_normal_00055,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00055.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00056__x00000_y00000_s00448,miic_partial_normal_test_normal_00056,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00056.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00057__x00000_y00000_s00448,miic_partial_normal_test_normal_00057,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00057.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00058__x00000_y00000_s00448,miic_partial_normal_test_normal_00058,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00058.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00059__x00000_y00000_s00448,miic_partial_normal_test_normal_00059,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00059.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00060__x00000_y00000_s00448,miic_partial_normal_test_normal_00060,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00060.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00061__x00000_y00000_s00448,miic_partial_normal_test_normal_00061,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00061.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00062__x00000_y00000_s00448,miic_partial_normal_test_normal_00062,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00062.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00063__x00000_y00000_s00448,miic_partial_normal_test_normal_00063,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00063.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00064__x00000_y00000_s00448,miic_partial_normal_test_normal_00064,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00064.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00065__x00000_y00000_s00448,miic_partial_normal_test_normal_00065,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00065.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00066__x00000_y00000_s00448,miic_partial_normal_test_normal_00066,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00066.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00067__x00000_y00000_s00448,miic_partial_normal_test_normal_00067,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00067.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00068__x00000_y00000_s00448,miic_partial_normal_test_normal_00068,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00068.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00069__x00000_y00000_s00448,miic_partial_normal_test_normal_00069,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00069.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00070__x00000_y00000_s00448,miic_partial_normal_test_normal_00070,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00070.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00071__x00000_y00000_s00448,miic_partial_normal_test_normal_00071,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00071.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00072__x00000_y00000_s00448,miic_partial_normal_test_normal_00072,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00072.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00073__x00000_y00000_s00448,miic_partial_normal_test_normal_00073,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00073.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00074__x00000_y00000_s00448,miic_partial_normal_test_normal_00074,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00074.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00075__x00000_y00000_s00448,miic_partial_normal_test_normal_00075,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00075.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00076__x00000_y00000_s00448,miic_partial_normal_test_normal_00076,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00076.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00077__x00000_y00000_s00448,miic_partial_normal_test_normal_00077,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00077.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00078__x00000_y00000_s00448,miic_partial_normal_test_normal_00078,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00078.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00079__x00000_y00000_s00448,miic_partial_normal_test_normal_00079,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00079.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00080__x00000_y00000_s00448,miic_partial_normal_test_normal_00080,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00080.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00081__x00000_y00000_s00448,miic_partial_normal_test_normal_00081,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00081.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00082__x00000_y00000_s00448,miic_partial_normal_test_normal_00082,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00082.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00083__x00000_y00000_s00448,miic_partial_normal_test_normal_00083,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00083.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00084__x00000_y00000_s00448,miic_partial_normal_test_normal_00084,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00084.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00085__x00000_y00000_s00448,miic_partial_normal_test_normal_00085,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00085.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00086__x00000_y00000_s00448,miic_partial_normal_test_normal_00086,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00086.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00087__x00000_y00000_s00448,miic_partial_normal_test_normal_00087,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00087.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00088__x00000_y00000_s00448,miic_partial_normal_test_normal_00088,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00088.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00089__x00000_y00000_s00448,miic_partial_normal_test_normal_00089,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00089.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00090__x00000_y00000_s00448,miic_partial_normal_test_normal_00090,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00090.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00091__x00000_y00000_s00448,miic_partial_normal_test_normal_00091,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00091.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00092__x00000_y00000_s00448,miic_partial_normal_test_normal_00092,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00092.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00093__x00000_y00000_s00448,miic_partial_normal_test_normal_00093,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00093.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00094__x00000_y00000_s00448,miic_partial_normal_test_normal_00094,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00094.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00095__x00000_y00000_s00448,miic_partial_normal_test_normal_00095,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00095.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00096__x00000_y00000_s00448,miic_partial_normal_test_normal_00096,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00096.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00097__x00000_y00000_s00448,miic_partial_normal_test_normal_00097,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00097.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00098__x00000_y00000_s00448,miic_partial_normal_test_normal_00098,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00098.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00099__x00000_y00000_s00448,miic_partial_normal_test_normal_00099,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00099.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00100__x00000_y00000_s00448,miic_partial_normal_test_normal_00100,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00100.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00101__x00000_y00000_s00448,miic_partial_normal_test_normal_00101,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00101.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00102__x00000_y00000_s00448,miic_partial_normal_test_normal_00102,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00102.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00103__x00000_y00000_s00448,miic_partial_normal_test_normal_00103,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00103.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00104__x00000_y00000_s00448,miic_partial_normal_test_normal_00104,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00104.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00105__x00000_y00000_s00448,miic_partial_normal_test_normal_00105,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00105.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00106__x00000_y00000_s00448,miic_partial_normal_test_normal_00106,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00106.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00107__x00000_y00000_s00448,miic_partial_normal_test_normal_00107,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00107.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00108__x00000_y00000_s00448,miic_partial_normal_test_normal_00108,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00108.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00109__x00000_y00000_s00448,miic_partial_normal_test_normal_00109,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00109.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00110__x00000_y00000_s00448,miic_partial_normal_test_normal_00110,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00110.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00111__x00000_y00000_s00448,miic_partial_normal_test_normal_00111,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00111.jpg,,0,0,448,448,rgb_repeat_v1,True,False
